,precision,recall,f1-score,support,run_name,checkpoint
abigail_williams_(fate),0.9,0.75,0.8181818181818182,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
aegis_(persona),0.375,0.25,0.3,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
aisaka_taiga,0.375,0.25,0.3,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
albedo,0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
anastasia_(idolmaster),0.5,0.5833333333333334,0.5384615384615384,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
aqua_(konosuba),0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
arcueid_brunestud,0.6363636363636364,0.5833333333333334,0.6086956521739131,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
asia_argento,1.0,0.8333333333333334,0.9090909090909091,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
astolfo_(fate),0.36363636363636365,0.3333333333333333,0.34782608695652173,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
asuna_(sao),0.6666666666666666,0.3333333333333333,0.4444444444444444,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
atago_(azur_lane),0.625,0.4166666666666667,0.5,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
ayanami_rei,0.5,0.6666666666666666,0.5714285714285714,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
belfast_(azur_lane),0.5263157894736842,0.8333333333333334,0.6451612903225806,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
bremerton_(azur_lane),0.875,0.5833333333333334,0.7,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
c.c,0.7857142857142857,0.9166666666666666,0.8461538461538461,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
chitanda_eru,0.4,0.5,0.4444444444444444,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
chloe_von_einzbern,0.9,0.75,0.8181818181818182,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
cleveland_(azur_lane),0.4666666666666667,0.5833333333333334,0.5185185185185185,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
d.va_(overwatch),0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
dido_(azur_lane),0.75,0.8181818181818182,0.782608695652174,11.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
emilia_rezero,0.8,0.6666666666666666,0.7272727272727273,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
enterprise_(azur_lane),0.625,0.4166666666666667,0.5,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
formidable_(azur_lane),0.8181818181818182,0.75,0.782608695652174,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
fubuki_(one-punch_man),0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
fujibayashi_kyou,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
fujiwara_chika,0.5,0.5833333333333334,0.5384615384615384,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
furukawa_nagisa,1.0,0.6666666666666666,0.8,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
gawr_gura,0.5333333333333333,0.6666666666666666,0.5925925925925926,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
gilgamesh,0.45,0.75,0.5625,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
giorno_giovanna,0.75,0.75,0.75,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
hanekawa_tsubasa,0.5,0.6153846153846154,0.5517241379310345,13.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
hatsune_miku,0.6,0.5,0.5454545454545454,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
hayasaka_ai,0.6428571428571429,0.75,0.6923076923076923,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
hirasawa_yui,0.6153846153846154,0.6666666666666666,0.64,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
hyuuga_hinata,0.8,0.6666666666666666,0.7272727272727273,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
ichigo_(darling_in_the_franxx),0.6875,0.9166666666666666,0.7857142857142857,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
illyasviel_von_einzbern,0.5,0.6666666666666666,0.5714285714285714,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
irisviel_von_einzbern,0.625,0.7692307692307693,0.6896551724137931,13.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
ishtar_(fate_grand_order),0.7,0.5833333333333334,0.6363636363636364,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
isshiki_iroha,0.8181818181818182,0.6923076923076923,0.75,13.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
jonathan_joestar,0.5714285714285714,0.7272727272727273,0.64,11.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
kamado_nezuko,1.0,0.8333333333333334,0.9090909090909091,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
kaname_madoka,0.2,0.16666666666666666,0.18181818181818182,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
kanbaru_suruga,0.7142857142857143,0.4166666666666667,0.5263157894736842,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
karin_(blue_archive),1.0,0.6666666666666666,0.8,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
karna_(fate),0.6875,0.9166666666666666,0.7857142857142857,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
katsuragi_misato,0.6153846153846154,0.6666666666666666,0.64,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
keqing_(genshin_impact),0.5384615384615384,0.5833333333333334,0.56,12.0,baseline_frozen,checkpoints/resnet34_frozen_best.pth
