,precision,recall,f1-score,support,run_name,checkpoint
abigail_williams_(fate),0.6875,0.9166666666666666,0.7857142857142857,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
aegis_(persona),0.42857142857142855,0.25,0.3157894736842105,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
aisaka_taiga,0.42857142857142855,0.25,0.3157894736842105,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
albedo,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
anastasia_(idolmaster),0.46153846153846156,0.5,0.48,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
aqua_(konosuba),0.46153846153846156,0.5,0.48,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
arcueid_brunestud,0.4,0.5,0.4444444444444444,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
asia_argento,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
astolfo_(fate),0.75,0.25,0.375,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
asuna_(sao),0.75,0.25,0.375,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
atago_(azur_lane),0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ayanami_rei,0.42857142857142855,0.5,0.46153846153846156,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
belfast_(azur_lane),0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
bremerton_(azur_lane),0.6666666666666666,0.5,0.5714285714285714,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
c.c,0.6666666666666666,1.0,0.8,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
chitanda_eru,0.5555555555555556,0.4166666666666667,0.47619047619047616,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
chloe_von_einzbern,1.0,0.5833333333333334,0.7368421052631579,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
cleveland_(azur_lane),1.0,0.16666666666666666,0.2857142857142857,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
d.va_(overwatch),0.8333333333333334,0.4166666666666667,0.5555555555555556,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
dido_(azur_lane),0.8181818181818182,0.8181818181818182,0.8181818181818182,11.0,baseline,checkpoints/resnet34_baseline_optuna.pth
emilia_rezero,0.5714285714285714,0.6666666666666666,0.6153846153846154,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
enterprise_(azur_lane),0.8,0.3333333333333333,0.47058823529411764,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
formidable_(azur_lane),0.8888888888888888,0.6666666666666666,0.7619047619047619,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
fubuki_(one-punch_man),0.44,0.8461538461538461,0.5789473684210527,13.0,baseline,checkpoints/resnet34_baseline_optuna.pth
fujibayashi_kyou,0.6428571428571429,0.75,0.6923076923076923,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
fujiwara_chika,0.7777777777777778,0.5833333333333334,0.6666666666666666,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
furukawa_nagisa,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
gawr_gura,0.9,0.75,0.8181818181818182,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
gilgamesh,0.42105263157894735,0.6666666666666666,0.5161290322580645,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
giorno_giovanna,0.4166666666666667,0.8333333333333334,0.5555555555555556,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
hanekawa_tsubasa,0.6,0.23076923076923078,0.3333333333333333,13.0,baseline,checkpoints/resnet34_baseline_optuna.pth
hatsune_miku,0.6,0.5,0.5454545454545454,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
hayasaka_ai,0.3142857142857143,0.9166666666666666,0.46808510638297873,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
hirasawa_yui,0.38461538461538464,0.4166666666666667,0.4,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
hyuuga_hinata,0.4444444444444444,0.6666666666666666,0.5333333333333333,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ichigo_(darling_in_the_franxx),0.5294117647058824,0.75,0.6206896551724138,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
illyasviel_von_einzbern,0.47058823529411764,0.6666666666666666,0.5517241379310345,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
irisviel_von_einzbern,0.5263157894736842,0.7692307692307693,0.625,13.0,baseline,checkpoints/resnet34_baseline_optuna.pth
ishtar_(fate_grand_order),0.45454545454545453,0.4166666666666667,0.43478260869565216,12.0,baseline,checkpoints/resnet34_baseline_optuna.pth
