,precision,recall,f1-score,support,run_name,checkpoint
abigail_williams_(fate),1.0,0.75,0.8571428571428571,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
aegis_(persona),0.6,0.5,0.5454545454545454,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
aisaka_taiga,0.5,0.25,0.3333333333333333,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
albedo,0.7,0.5833333333333334,0.6363636363636364,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
anastasia_(idolmaster),0.5,0.5833333333333334,0.5384615384615384,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
aqua_(konosuba),1.0,0.8333333333333334,0.9090909090909091,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
arcueid_brunestud,0.6666666666666666,0.6666666666666666,0.6666666666666666,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
asia_argento,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
astolfo_(fate),0.9,0.75,0.8181818181818182,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
asuna_(sao),0.8,0.3333333333333333,0.47058823529411764,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
atago_(azur_lane),0.6,0.75,0.6666666666666666,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
ayanami_rei,0.8,0.6666666666666666,0.7272727272727273,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
belfast_(azur_lane),0.6111111111111112,0.9166666666666666,0.7333333333333333,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
bremerton_(azur_lane),1.0,0.75,0.8571428571428571,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
c.c,0.8571428571428571,1.0,0.9230769230769231,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
chitanda_eru,0.8,0.6666666666666666,0.7272727272727273,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
chloe_von_einzbern,0.9,0.75,0.8181818181818182,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
cleveland_(azur_lane),0.6111111111111112,0.9166666666666666,0.7333333333333333,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
d.va_(overwatch),0.9,0.75,0.8181818181818182,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
dido_(azur_lane),1.0,0.8181818181818182,0.9,11.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
emilia_rezero,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned_layer4,checkpoints/resnet34_finetuned_best2.pth
