,precision,recall,f1-score,support,run_name,checkpoint
abigail_williams_(fate),0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
aegis_(persona),0.875,0.5833333333333334,0.7,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
aisaka_taiga,0.75,0.25,0.375,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
albedo,0.7692307692307693,0.8333333333333334,0.8,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
anastasia_(idolmaster),0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
aqua_(konosuba),0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
arcueid_brunestud,0.6428571428571429,0.75,0.6923076923076923,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
asia_argento,1.0,0.9166666666666666,0.9565217391304348,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
astolfo_(fate),1.0,0.5,0.6666666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
asuna_(sao),0.625,0.4166666666666667,0.5,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
atago_(azur_lane),0.4,0.16666666666666666,0.23529411764705882,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
ayanami_rei,0.75,0.75,0.75,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
belfast_(azur_lane),0.5238095238095238,0.9166666666666666,0.6666666666666666,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
bremerton_(azur_lane),1.0,0.75,0.8571428571428571,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
c.c,0.75,1.0,0.8571428571428571,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
chitanda_eru,0.6428571428571429,0.75,0.6923076923076923,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
chloe_von_einzbern,1.0,0.8333333333333334,0.9090909090909091,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
cleveland_(azur_lane),0.5625,0.75,0.6428571428571429,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
d.va_(overwatch),0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
dido_(azur_lane),0.7142857142857143,0.9090909090909091,0.8,11.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
emilia_rezero,0.6428571428571429,0.75,0.6923076923076923,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
enterprise_(azur_lane),0.7692307692307693,0.8333333333333334,0.8,12.0,finetuned,checkpoints/resnet34_finetuned_optuna.pth
